Attempt Distance          Time         TTime
      0        9          3215         23343
      1       12          2049          9515
      2       -1            17            14
      3        9           902         11935
      4        8           327           893
      5        3            31            43
      6       -1          1562         22676
      7       -1            18           260
      8       -1          1202         10566
      9        0             5            32
     10        9          5504          8501
     11       -1            13            10
     12       12           818          4052
     13       12           957          7973
     14       10           618          5284
     15       17          1022         12782
     16       -1          2597         13305
     17       -1            10            11
     18        6           165          1043
     19        5            78           997
     20       12           718          2475
     21        8           215           411
     22       11           717          5519
     23       -1          1065         11975
     24       10           502          5672
     25        8           499           934
     26       10           369          2192
     27       -1             9             7
     28       11           635          4942
     29        9           620          6707
     30       -1          1054          7673
     31       12           872          3612
     32       10           268          1384
     33       -1            10            10
     34       10           440          2580
     35       -1            10            12
     36       -1             8            12
     37       11           894          6400
     38       10           428          2880
     39       10           560          4184
     40       -1          1022         11611
     41       10           362          2564
     42        7           112           319
     43        5            55           620
     44        8           208           318
     45        8           350           696
     46       -1          1025         11320
     47       12           498          1186
     48       -1             8             9
     49       -1             7            13
